"Category"	"Article_No"	"Sku#"	"Product_Name"	"Description"	"Price"	"Price_Actual"	"Metal"	"Weight"	"Finishing"	"Measurement_Band"	"Measurement_Width"	"Measurement_Height"	"Circumference"	"Stone_Length"	"Stone_Width"	"Stone_Depth"	"New_Product"	"Featured_Product"	"Active"	"Image"
1	1	32	"Ring Gold"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	15	20	"gold"	20	20	21	20	20	20	20	20	20	1	1	1	"89315d0dc9ac200e20444d856c24099a.jpg"
6	2	23	"Silver Son"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	5	8	"g"	5	3	3	2	3	1	2	1	1	0	0	1	"472517c736d62fc4b7684231830863f1.jpg"
5	3	7	"Gray Metal"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	35	40	"gold"	20	20		20	20	20	20	20	20	1	0	1	"112c63b5515ae2ec1292c4791c049fe0.jpg"
3	4	8	"Paltinum"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	5	10		20	20		20	20	20	20	20	20	1	0	1	"f2aa0d87c36e0967b042509f1cddc5e7.jpg"
3	5	9	"Kohinoor"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	6	10	"gold"	20	20	21	20	20	20	20	20	20	1	0	1	"e9637242c96d884c136d3f52ea5cd970.jpg"
1	6	18	"Tanai"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	10	0	"silver"	20	20	12	20	22	20	20	20	20	1	0	1	"119f784e72ae2d6eb43789667c4d707f.jpg"
"1,7"	7	20	"Red Ring"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	8	12		20	20		20	20	20	20	20	20	0	0	1	"a72788776ae7122f1d66f810f7cc9e8d.jpg"
8	8	12	"Silver band"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	200	240	20	10	2	"dsds"	12	15	"12x15"	25	21	11	1	0	1	"e5afeb975d6cf2d0bd301780be9a796c.jpg"
"6,7"	9	1	"Charu"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	35	40	"Metal"	10	"Finishing"	10	50	10	"cirumference"	25	20	35	1	0	1	"c2da2ea9c092dbe43efc3fb319e46528.jpg"
8	10	20	"New silver"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	7	10		20	20	1	20	20	20	20	20	20	0	0	1	"a0b4b4e05126358e636c844bdced3159.jpg"
7	11	24	"Golden"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	275	300	"jk"	3	3	2	3	1	6	4	5	7	0	0	1	"4cb873e793f448aa01fe00b087f57489.jpg"
1	12	52	"Sky Line"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	23	25	"sd"	12	12	12	3	22	2	3	1	4	1	1	1	"e2685ddc46ecc234c79de9f7ac64f805.jpg"
"1,6"	13	5	"24 careet"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	40	50	"dsfd"	25	6	3	3	3	3	3	3	3	1	1	1	"2b1fea8913fe3c18c8ffc81c7f4d5be6.jpg"
3	14	33	"Light green"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	30	35	"jk"	20	3	5	5	5	6	5	5	5	1	0	1	"6cbaf35765aa5b8169fb7de89c40cdfa.jpg"
7	15	17	"NewOne"	"This pretty ring features the symbol for Infinity on the front, rendered in a shining high polish. This ring is crafted of .925 ."	8	10	"gold"	20	20	21	20	20	20	20	20	20	1	0	1	"02aa656f7a2e7fa1e3663805c713c842.jpg"
